question,answer,source,role,category
) How can PHP and Javascript interact?,"PHP and Javascript cannot directly interact since PHP is a server side language and Javascript is a client-side language. However, we can exchange variables since PHP can generate Javascript code to be executed by the browser and it is possible to pass specific variables back to PHP via the URL.",http://career.guru99.com/top-100-php-interview-questions-answers/,Software Engineer,
) How failures in execution are handled with include() and require() functions?,"If the function require() cannot access the file then it ends with a fatal error. However, the include() function gives a warning, and the PHP script continues to execute.",http://career.guru99.com/top-100-php-interview-questions-answers/,AI Engineer,
) What is the main difference between require() and require_once()?,"require(), and require_once() perform the same task except that the second function checks if the PHP script is already included or not before executing it.",http://career.guru99.com/top-100-php-interview-questions-answers/,AI Engineer,
) How can we connect to a MySQL database from a PHP script?,"To be able to connect to a MySQL database, we must use mysqli_connect() function as follows:",http://career.guru99.com/top-100-php-interview-questions-answers/,Backend Developer,
) What is the function mysql_pconnect() useful for?,"mysql_pconnect() ensure a persistent connection to the database, it means that the connection does not close when the PHP script ends.",http://career.guru99.com/top-100-php-interview-questions-answers/,Backend Developer,
) How be the result set of Mysql handled in PHP?,"The result set can be handled using mysqli_fetch_array, mysqli_fetch_assoc, mysqli_fetch_object or mysqli_fetch_row.",http://career.guru99.com/top-100-php-interview-questions-answers/,Backend Developer,
) What is the difference between mysqli_fetch_object() and mysqli_fetch_array()?,The mysqli_fetch_object() function collects the first single matching record where mysqli_fetch_array() collects all matching records from the table in an array.,http://career.guru99.com/top-100-php-interview-questions-answers/,Backend Developer,
) How do I escape data before storing it in the database?,The addslashes function enables us to escape data before storage into the database.,http://career.guru99.com/top-100-php-interview-questions-answers/,Backend Developer,
) Is it possible to remove the HTML tags from data?,The strip_tags() function enables us to clean a string from the HTML tags.,http://career.guru99.com/top-100-php-interview-questions-answers/,Frontend Developer,
) What are the two main string operators?,"The first is the concatenation operator (‘.’), which returns the concatenation of its right and left arguments. The second is (‘.=’), which appends the argument on the right to the argument on the left.",http://career.guru99.com/top-100-php-interview-questions-answers/,AI Engineer,
) How can we determine whether a PHP variable is an instantiated object of a certain class?,To be able to verify whether a PHP variable is an instantiated object of a certain class we use instanceof.,http://career.guru99.com/top-100-php-interview-questions-answers/,AI Engineer,
) Explain whether it is possible to share a single instance of a Memcache between multiple PHP projects?,"Yes, it is possible to share a single instance of Memcache between multiple projects. Memcache is a memory store space, and you can run memcache on one or more servers. You can also configure your client to speak to a particular set of instances. So, you can run two different Memcache processes on the same host and yet they are completely independent. Unless, if you have partitioned your data, then it becomes necessary to know from which instance to get the data from or to put into.",http://career.guru99.com/top-100-php-interview-questions-answers/,AI Engineer,
) Explain how you can update Memcached when you make changes to PHP?,When PHP changes you can update Memcached by,http://career.guru99.com/top-100-php-interview-questions-answers/,AI Engineer,
) Explain what is Django?,"Django is an open-source web framework for creating Python-based web applications. As there is a huge demand of Python based web applications, the demand for Django Developers is also high.",http://career.guru99.com/top-16-django-interview-questions/,AI Engineer,
) Mention what are the features available in Django?,Features available in Django are,http://career.guru99.com/top-16-django-interview-questions/,AI Engineer,
) Explain how you can create a project in Django?,"To start a project in Django, you use command $ django-admin.py and then use the command",http://career.guru99.com/top-16-django-interview-questions/,AI Engineer,
) Explain how you can set up the Database in Django?,"You can use the command edit mysite/setting.py , it is a normal python module with module level representing Django settings. Django uses SQLite by default; it is easy for Django users as such it won’t require any other type of installation. In the case your database choice is different that you have to the following keys in the DATABASE ‘default’ item to match your database connection settings",http://career.guru99.com/top-16-django-interview-questions/,Backend Developer,
) Explain how you can setup static files in Django?,There are three main things required to set up static files in Django,http://career.guru99.com/top-16-django-interview-questions/,AI Engineer,
) Explain the use of session framework in Django?,"In Django, the session framework enables you to store and retrieve arbitrary data on a per-site-visitor basis.  It stores data on the server side and abstracts the receiving and sending of cookies.  Session can be implemented through a piece of middleware.",http://career.guru99.com/top-16-django-interview-questions/,AI Engineer,
) Explain how you can use file based sessions?,To use file based session you have to set the SESSION_ENGINE settings to “django.contrib.sessions.backends.file”,http://career.guru99.com/top-16-django-interview-questions/,AI Engineer,
) Explain the migration in Django and how you can do in SQL?,"Migration in Django is to make changes to your models like deleting a model, adding a field, etc. into your database schema.  There are several commands you use to interact with migrations.",http://career.guru99.com/top-16-django-interview-questions/,Backend Developer,
) Explain what does django-admin.py makemessages command is used for?,This command line executes over the entire source tree of the current directory and abstracts all the strings marked for translation.  It makes a message file in the locale directory.,http://career.guru99.com/top-16-django-interview-questions/,AI Engineer,
) Explain how you can import data from other sources into Access database?,To import data into Access data-base,http://career.guru99.com/top-16-ms-access-database-interview-questions/,Backend Developer,
) Explain what is the size limitation for an Access database?,The Access 2.0 database has the size limitation of 1 gigabyte.,http://career.guru99.com/top-16-ms-access-database-interview-questions/,Backend Developer,
) Explain how you can build a relationship between the different databases in Access?,"When you establish a relationship between two data, the first table for your data is referred as the primary key while the new field in another data is called a foreign key.",http://career.guru99.com/top-16-ms-access-database-interview-questions/,Backend Developer,
) Explain what do you mean by queries?,"Queries are the medium of manipulating the data to display in the form or report. Queries can join tables, update data, delete data, sort, calculate, filter, etc.",http://career.guru99.com/top-16-ms-access-database-interview-questions/,AI Engineer,
) Explain what joins are and how you can open the database in Access?,Joins determines the relationship between tables in Access by stating the details of the relationship between two tables. You can create joins on the database tools tab or by opening a query in design view.,http://career.guru99.com/top-16-ms-access-database-interview-questions/,Backend Developer,
) Explain how you can export data in Excel format?,"To create a table using MAOL, you have to pronounce a variable of type object and then initialize it with the CreateTableDef() method of the recent database object. This technique takes argument as the name of the table.",http://career.guru99.com/top-16-ms-access-database-interview-questions/,AI Engineer,
) Explain how you can create a table using MAOL (Microsoft Access Object Library)?,"To create a table using MAOL, you have to pronounce a variable of type object and then initialize it with the CreateTableDef() method of the recent database object. This technique takes argument as the name of the table.",http://career.guru99.com/top-16-ms-access-database-interview-questions/,AI Engineer,
) Explain how you can create a form in Microsoft Access 2013?,"Forms allow to insert data across multiple tables. There are different methods for creating forms but with Form Wizard  method, you can always modify the form later using Design View. To create a form",http://career.guru99.com/top-16-ms-access-database-interview-questions/,AI Engineer,
) Explain the use of WHERE clause in MS Access SQL?,WHERE [LASTNAME] = ‘Harrison’,http://career.guru99.com/top-16-ms-access-database-interview-questions/,Backend Developer,
) Explain how we can do multi-join query in MS Access?,"In Access, we can only join two tables, in order to join more tables you require to group the first join together by using parentheses, as if it was a newly derived table. After that, you can join another table to that group.",http://career.guru99.com/top-16-ms-access-database-interview-questions/,AI Engineer,
) Explain how MS Access is better than MS SQL Server?,"Look up fields: Ensure that you relate tables, links, etc. if you want to show look up values and not look up ids. For the display of lookup values, related table should be linked to the destination field.",http://career.guru99.com/top-16-ms-access-database-interview-questions/,Backend Developer,
) Explain what is Sass? How it can be used?,"Sass stands for Syntactically Awesome Stylesheets and was created by Hampton Catlin. It is an extension of CSS3, adding nested rules, mixins, variables, selector inheritance, etc.",http://career.guru99.com/top-17-sass-interview-questions/,AI Engineer,
) Explain how to define a variable in Sass?,Variables in Sass begin with a ($) sign and variable assignment is done with a colon(:).,http://career.guru99.com/top-17-sass-interview-questions/,AI Engineer,
) Explain what is the difference between Sass and SCSS?,"The difference between Sass and SCSS is that,",http://career.guru99.com/top-17-sass-interview-questions/,Frontend Developer,
) Explain what is a @extend function used for in Sass?,"In Sass, the @EXTEND directive provides a simple way to allow a selector to inherit the styles of another one. It aims at providing a way for a selector A to extend the styles from a selector B. When doing so, the selector A will be added to selector B so they both share the same declarations.  @EXTEND prevents code bloat by grouping selectors that share the same style into one rule.",http://career.guru99.com/top-17-sass-interview-questions/,AI Engineer,
) Explain what is the use of the @IMPORT function in Sass?,The @IMPORT function in Sass,http://career.guru99.com/top-17-sass-interview-questions/,AI Engineer,
) Explain what is the use of Mixin function in Sass? What is the meaning of DRY-ing out a mixin?,Mixin allows you to define styles that can be re-used throughout the stylesheet without needing to resort to non-semantic classes like .float-left.,http://career.guru99.com/top-17-sass-interview-questions/,AI Engineer,
) Explain what Sass Maps is and what is the use of Sass Maps?,Sass map is a structured data in a hierarchical way and not just a bunch of variables. It can help in organizing the code. Some great use of Sass are,http://career.guru99.com/top-17-sass-interview-questions/,AI Engineer,
) Explain how Sass comments are different from regular CSS?,"Syntax for comments in regular CSS starts with /* comments…*/, while in SASS there are two type of comment, the single line comments // and the multiline CSS comments with /* */.",http://career.guru99.com/top-17-sass-interview-questions/,Frontend Developer,
) Explain when can you use the %placeholders in Sass?,"%placeholders in Sass is useful when you want to write styles that were meant to be extended, but you don’t want the base styles to be seen in output CSS styles",http://career.guru99.com/top-17-sass-interview-questions/,AI Engineer,
) Explain what is LESS?,"LESS is dynamic style sheet producing language. LESS is a CSS pre-processors and extends CSS with dynamic behaviour. It allows for variables, mixins, operations and functions. LESS runs on server side and client side both.",http://career.guru99.com/top-17-sass-interview-questions/,AI Engineer,
) Explain how to create LESS file and where to store it and compile it?,"Creating or storing LESS file is similar to creating/storing CSS file. A new LESS file can be created with a .less extension, or you can rename existing .css file to .less file. You can write LESS code with existing CSS code.",http://career.guru99.com/top-17-sass-interview-questions/,AI Engineer,
) Explain how Mixins is useful?,Mixins enable embedding all the properties of a class into another class by including the class name as one of its properties. It is just like variables but for whole classes.,http://career.guru99.com/top-17-sass-interview-questions/,AI Engineer,
) Explain how can set code in a watch mode when you run LESS.js in an HTML5 browser?,"If you run LESS.js in an HTML5 browser, it will use local storage to cache the generated CSS. However, from the developer point of view they cannot see the changes they made instantly. In order to see your changes instantly, you can load program in development and watch mode by following JavaScript",http://career.guru99.com/top-17-sass-interview-questions/,Frontend Developer,
) Explain what is the meaning of nesting in LESS programming?,"Nesting in LESS is clustering of statements inside other statements, so it forms a group of related code. In other words when we add a code snippet and add another code inside it, then that code snippet is called nesting.",http://career.guru99.com/top-17-sass-interview-questions/,AI Engineer,
) Explain what is data-uri in LESS?,"In CSS, Data URI’s is one of the best technique, it allows developers to avoid external image referencing and instead embed them directly into a stylesheet. Data URIs are the excellent way to reduce HTTP requests",http://career.guru99.com/top-17-sass-interview-questions/,AI Engineer,
) Explain what “Source Map Less Inline”?,The “ Source Map Less Inline” option indicates that we should include all of the CSS files into the sourcemap. Which means that you only need your map file to get to your original source.,http://career.guru99.com/top-17-sass-interview-questions/,AI Engineer,
) Explain what is the use of Extend “all” in LESS?,"When you specify all keyword last in an extend argument, it tells LESS to match that selector as part of another selector.",http://career.guru99.com/top-17-sass-interview-questions/,AI Engineer,
) Explain what is “StrictImports” in LESS?,The strictImports controls whether the compiler will allow a @import inside of either @media blocks or other selector blocks,http://career.guru99.com/top-17-sass-interview-questions/,AI Engineer,
) Explain what is the use of &combinator ?,&combinator concatenates nested selector with the parent selector. It is useful for Pseudo classes such as :hover and :focus,http://career.guru99.com/top-17-sass-interview-questions/,AI Engineer,
) Explain what is the use of operations in LESS?,Operations can be used for performing functions like,http://career.guru99.com/top-17-sass-interview-questions/,AI Engineer,
) Explain what is the use of Escaping?,The use of escaping in LESS,http://career.guru99.com/top-17-sass-interview-questions/,Backend Developer,
) What does LESS elements contains?,Less elements contain commonly used mixins like,http://career.guru99.com/top-17-sass-interview-questions/,AI Engineer,
) List out alternatives against LESS?,You can invoke the compiler from the command line in LESS as,http://career.guru99.com/top-17-sass-interview-questions/,AI Engineer,
) Explain how you can invoke the compiler from the command line?,You can invoke the compiler from the command line in LESS as,http://career.guru99.com/top-17-sass-interview-questions/,AI Engineer,
) Explain how you can pre-compile LESS into CSS?,To pre-compile LESS into CSS you can use,http://career.guru99.com/top-17-sass-interview-questions/,Frontend Developer,
) Explain how merge function is used in LESS?,For aggregating values from multiple properties into a space or comma separated list under a single property LESS is used. It is useful for properties such as transform and background,http://career.guru99.com/top-17-sass-interview-questions/,AI Engineer,
) How can you create a loop structures in LESS?,"A mixin can call itself in LESS. Such recursive mixins, when combined with Pattern matching and Guard Expressions, can be used to create various iterative/loop structures.",http://career.guru99.com/top-17-sass-interview-questions/,Software Engineer,
) Explain what is LISP? Give an example of some of the popular applications built in LISP?,"LISP stands for List Processing, it is also a high-level programming language based on formal functional calculus. This language is used for easy manipulation of data strings. It is used for Artificial Intelligence. Some of the popular applications built in LISP are",http://career.guru99.com/top-18-lisp-interview-questions/,AI Engineer,
") Mention how many types of variables available is LISP? Explain what are the variables that are bound, and that have values assigned to them?","The number of variables available in LISP is two one is lexical variable, and other is special variable. The parameter of procedures is variable which are bound and have values allotted to them.",http://career.guru99.com/top-18-lisp-interview-questions/,AI Engineer,
) Explain what is Local Variables?,With a given procedure local variables are defined. The parameters named as arguments within a function are also referred as local variables. They are accessible only within the respective function.,http://career.guru99.com/top-18-lisp-interview-questions/,AI Engineer,
) Explain what is LISP constants?,"In LISP, during execution constants are variables that never change their values. Using the defconstant construct constants are declared.",http://career.guru99.com/top-18-lisp-interview-questions/,AI Engineer,
) Mention what are the three functions required by LISP?,"For defining functions, macro named defun is used, it needs three arguments",http://career.guru99.com/top-18-lisp-interview-questions/,UX Developer,
) Explain what is a predicate in LISP?,Predicates are one type of functions that test their arguments for specific conditions and returns nil value if condition is false and if condition is true it retrieves some non-nil value.,http://career.guru99.com/top-18-lisp-interview-questions/,AI Engineer,
) Explain what is the importance of the hash table in LISP?,The hash table data structure denotes a collection of key and value pairs which are arranged based on the hash code of the key. Each item in the hash table has key/value pair and is used to access the items in the collection. When you want to access elements by using a key a hash table is used.,http://career.guru99.com/top-18-lisp-interview-questions/,AI Engineer,
) Explain LISP-Vectors?,"Vectors are one-dimensional arrays, therefore, a subtype of array. Vectors and lists together are called sequences. LISP has fixed length variable/ simple vectors as well as variable length vectors which are created with the keywords: adjustable and fill-pointer.",http://career.guru99.com/top-18-lisp-interview-questions/,AI Engineer,
) Explain what is the property list in LISP?,"In LISP, a symbol represents a data-objects. It consists of component called Property list or plist. LISP enables to assign properties to symbols. A property list is executed as a list within an even numbers of elements.",http://career.guru99.com/top-18-lisp-interview-questions/,AI Engineer,
) Explain what is slot and what are the most commonly used slot options?,"Slots are nothing but variables that stores data or fields. A slot description has the form, where each option is a keyword followed by name, expression and other options. The most commonly used slot options are:",http://career.guru99.com/top-18-lisp-interview-questions/,AI Engineer,
) Explain what is CLOS in LISP? What are the goals of the common lisp object system?,"For writing object oriented programs, common LISP includes a set of operators, collectively they are called CLOS or Common Lisp Object System. The common objective of LISP is to",http://career.guru99.com/top-18-lisp-interview-questions/,AI Engineer,
) Explain what is setq is used for in LISP?,setq is used to set variables in LISP,http://career.guru99.com/top-18-lisp-interview-questions/,AI Engineer,
) Explain what is GO?,"GO is an open source programming language which makes it easy to build simple, reliable and efficient software. Programs are constructed from packages, whose properties allow efficient management of dependencies.",http://career.guru99.com/top-20-go-programming-interview-questions/,AI Engineer,
) Explain what is string literals?,"A string literals represents a string constant obtained from concatenating a sequence of characters. There are two forms,",http://career.guru99.com/top-20-go-programming-interview-questions/,AI Engineer,
) Explain packages in Go program?,Every GO program is made up of packages. The program starts running in package main.  This program is using the packages with import paths “fmt” and “math/rand”.,http://career.guru99.com/top-20-go-programming-interview-questions/,AI Engineer,
) Explain workspace in GO?,Inside a workspace GO code must be kept.  A workspace is a directory hierarchy with three directories at its root.,http://career.guru99.com/top-20-go-programming-interview-questions/,AI Engineer,
) Explain how to use custom packages in GO language?,If you are making your library a separate go get –table project and if your library is for internal use then you can code like this,http://career.guru99.com/top-20-go-programming-interview-questions/,AI Engineer,
) Explain what is GOPATH environment variable?,The GOPATH environment variable determines the location of the workspace. It is the only environment variable that you have to set when developing Go code.,http://career.guru99.com/top-20-go-programming-interview-questions/,AI Engineer,
) Explain how you can do testing in GO?,It has a lightweight testing framework consists of the go test command and the testing package. To write a test you have to create a file with a name ending in _testing. Go which contains functions named TestXXX with signature func (t *testing.T).  The test framework runs each such function.,http://career.guru99.com/top-20-go-programming-interview-questions/,AI Engineer,
) Explain what is string types?,"A string type represents the set of string values, and string values are sequence of bytes.  Strings once created is not possible to change.",http://career.guru99.com/top-20-go-programming-interview-questions/,AI Engineer,
) List out the built in support in GO?,The available built-in-support in GO includes,http://career.guru99.com/top-20-go-programming-interview-questions/,UX Developer,
) Explain what is go routine in GO? How you can stop go routine?,"A goroutine is a function which is capable of running concurrently with other functions To stop goroutine, you pass the goroutine  a signal channel, that signal channel is used to push a value into when you want the goroutine to stop.  The goroutine polls that channel regularly as soon as it detects a signal, it quits.",http://career.guru99.com/top-20-go-programming-interview-questions/,AI Engineer,
) Explain how you can write multiline strings in GO?,"To write multiline string in GO you can use a raw string literal, where the string is delimited by back quotes rather than double quotes. ‘ line  1 line  2 line  3 ’",http://career.guru99.com/top-20-go-programming-interview-questions/,AI Engineer,
) Explain how you to access command line arguments passed to a GO program?,"You can access the command line argument using the os.Args variables. For example,",http://career.guru99.com/top-20-go-programming-interview-questions/,AI Engineer,
) Explain how pointer is represented in GO?,In GO a pointer is represented by using the * (asterisk) character followed by the type of the stored value.,http://career.guru99.com/top-20-go-programming-interview-questions/,AI Engineer,
) Explain how arrays in GO works differently then C ?,In GO Array works differently than it works in C,http://career.guru99.com/top-20-go-programming-interview-questions/,AI Engineer,
) Explain GO Interfaces ?,"In GO, interfaces is a way to specify the behaviour of an object.  An interface is created by using the “type” word, followed by a name and the keyword interface.  An interface is specified as two things.",http://career.guru99.com/top-20-go-programming-interview-questions/,AI Engineer,
) Explain what Type assertion is used for and how it does it?,Type conversion is used to convert dissimilar types in GO.  A type  assertion takes an interface value and retrieve from it a value of the specified explicit type.,http://career.guru99.com/top-20-go-programming-interview-questions/,AI Engineer,
) Explain what is MongoDB?,"Mongo-DB is a document database which provides high performance, high availability and easy scalability.",http://career.guru99.com/top-20-mongodb-interview-questions/,AI Engineer,
) Explain what is a replica set?,"A replica set is a group of mongo instances that host the same data set. In replica set, one node is primary, and another is secondary. From primary to the secondary node all data replicates.",http://career.guru99.com/top-20-mongodb-interview-questions/,AI Engineer,
) Explain what is the role of profiler in MongoDB?,MongoDB database profiler shows performance characteristics of each operation against the database. You can find queries using the profiler that are slower than they should be.,http://career.guru99.com/top-20-mongodb-interview-questions/,AI Engineer,
) Explain can you move old files in the moveChunk directory?,"Yes, it is possible to move old files in the moveChunk directory, during normal shard balancing operations these files are made as backups and can be deleted once the operations are done.",http://career.guru99.com/top-20-mongodb-interview-questions/,AI Engineer,
) Explain what are indexes in MongoDB?,"Indexes are special structures in MongoDB, which stores a small portion of the data set in an easy to traverse form. Ordered by the value of the field specified in the index, the index stores the value of a specific field or set of fields.",http://career.guru99.com/top-20-mongodb-interview-questions/,AI Engineer,
) Explain what is GridFS in MongoDB?,"For storing and retrieving large files such as images, video files and audio files GridFS is used. By default, it uses two files fs.files and fs.chunks to store the file’s metadata and the chunks.",http://career.guru99.com/top-20-mongodb-interview-questions/,AI Engineer,
) Explain what is Neo4j?,"Neo4j is an open source NOSQL graph database, implemented in Java. It saves data structured in graphs rather than in tables.",http://career.guru99.com/top-20-ne04j-interview-questions/,AI Engineer,
) Mention what is the difference between Neo4j graph database and MySQL?,Some important characteristics of neo4j includes,http://career.guru99.com/top-20-ne04j-interview-questions/,Backend Developer,
") Explain the role of building blocks like Nodes, Relationships, Properties and Labels in Neo4j?",The role of building blocks,http://career.guru99.com/top-20-ne04j-interview-questions/,AI Engineer,
) Explain how you can run CQL commands in Neo4j?,You use “$” prompt to run all CQL commands in Neo4j.,http://career.guru99.com/top-20-ne04j-interview-questions/,AI Engineer,
