question,ideal_answer,user_answer,score
: What is the Basic Difference Between UNIX and Linux?,"UNIX is a proprietary operating system originally developed at AT&T’s Bell Labs in the 1970s. Linux, on the other hand, is a UNIX-like operating system that is free and open-source.",UNIX is a proprietary operating system originally developed at AT&T’s Bell Labs in the 197,0.5
: What is the Basic Difference Between UNIX and Linux?,"UNIX is a proprietary operating system originally developed at AT&T’s Bell Labs in the 1970s. Linux, on the other hand, is a UNIX-like operating system that is free and open-source.",I'm not sure.,0.19
Question 4: Write an SQL Query to check whether the date passed to Query is the date of the given format or not?,Really gud bro iam seraching for two months onwards thnxs...,Really gud bro iam seraching for two months onwards thnxs...,1.0
Question 4: Write an SQL Query to check whether the date passed to Query is the date of the given format or not?,Really gud bro iam seraching for two months onwards thnxs...,Really gud bro iam seraching f,0.41
Question 4: Write an SQL Query to check whether the date passed to Query is the date of the given format or not?,Really gud bro iam seraching for two months onwards thnxs...,I'm not sure.,0.03
Q-1: Is String a primitive data type in Java?,"Ans. The String is amongst the core Java classes, and it’s not related to any basic Java data types like int, long, or float. It’s a derived class that comes with the <java.lang> Package. It makes use of a character array to manage its content.","Ans. The String is amongst the core Java classes, and it’s not related to any basic Java data types like int, long, or float. It’s a derived class that comes with the <java.lang> Package. It makes use of a character array to manage its content.",1.0
Q-1: Is String a primitive data type in Java?,"Ans. The String is amongst the core Java classes, and it’s not related to any basic Java data types like int, long, or float. It’s a derived class that comes with the <java.lang> Package. It makes use of a character array to manage its content.","Ans. The String is amongst the core Java classes, and it’s not related to any basic Java data types like int, long, or flo",0.41
Q-1: Is String a primitive data type in Java?,"Ans. The String is amongst the core Java classes, and it’s not related to any basic Java data types like int, long, or float. It’s a derived class that comes with the <java.lang> Package. It makes use of a character array to manage its content.",I think it's about something technical.,0.06
Explain how can create a backup and copy files in Jenkins?,"Answer to this question is really direct. To create a backup, all you need to do is to periodically back up your JENKINS_HOME directory. This contains all of your build jobs configurations, your slave node configurations, and your build history. To create a back-up of your Jenkins setup, just copy this directory. You can also copy a job directory to clone or replicate a job or rename the directory.","Answer to this question is really direct. To create a backup, all you need to do is to periodically back up your JENKINS_HOME directory. This contains all of your build jobs configurations, your slave node configurations, and your build history. To create a back-up of your Jenkins setup, just copy this directory. You can also copy a job directory to clone or replicate a job or rename the directory.",1.0
Explain how can create a backup and copy files in Jenkins?,"Answer to this question is really direct. To create a backup, all you need to do is to periodically back up your JENKINS_HOME directory. This contains all of your build jobs configurations, your slave node configurations, and your build history. To create a back-up of your Jenkins setup, just copy this directory. You can also copy a job directory to clone or replicate a job or rename the directory.","Answer to this question is really direct. To create a backup, all you need to do is to periodically back up your JENKINS_HOME directory. This contains all of your build jobs configurations, your slave",0.69
Explain how can create a backup and copy files in Jenkins?,"Answer to this question is really direct. To create a backup, all you need to do is to periodically back up your JENKINS_HOME directory. This contains all of your build jobs configurations, your slave node configurations, and your build history. To create a back-up of your Jenkins setup, just copy this directory. You can also copy a job directory to clone or replicate a job or rename the directory.",I'm not sure.,0.11
What are Generators in Python?,"At their core, generators are functions that generate
            values on-demand rather than all at once. This ""lazy
            evaluation"" approach can dramatically reduce memory usage
            when working with large datasets or infinite
            sequences. Here's a simple example that illustrates the
            difference:","At their core, generators are functions that generate
            values on-demand rather than all at once. This ""lazy
            evaluation"" approach can dramatically reduce memory usage
            when working with large datasets or infinite
            sequences. Here's a simple example that illustrates the
            difference:",1.0
What are Generators in Python?,"At their core, generators are functions that generate
            values on-demand rather than all at once. This ""lazy
            evaluation"" approach can dramatically reduce memory usage
            when working with large datasets or infinite
            sequences. Here's a simple example that illustrates the
            difference:","At their core, generators are functions that generate
            values on-demand rather than all at once. This ""lazy
            evaluation"" approach can dramatically",0.67
What are Generators in Python?,"At their core, generators are functions that generate
            values on-demand rather than all at once. This ""lazy
            evaluation"" approach can dramatically reduce memory usage
            when working with large datasets or infinite
            sequences. Here's a simple example that illustrates the
            difference:",Maybe it's related to the frontend?,0.07
What happens if a DNS server is unavailable?,"If a DNS server is unavailable, the browser cannot resolve the domain name to an IP address, leading to an error and preventing the user from accessing the resource.","If a DNS server is unavailable, the browser cannot resolve the domain name to an IP address, leading to an error and preventing the user from accessing the resource.",1.0
What happens if a DNS server is unavailable?,"If a DNS server is unavailable, the browser cannot resolve the domain name to an IP address, leading to an error and preventing the user from accessing the resource.","If a DNS server is unavailable, the browser cannot resolve the domain name to an I",0.61
What happens if a DNS server is unavailable?,"If a DNS server is unavailable, the browser cannot resolve the domain name to an IP address, leading to an error and preventing the user from accessing the resource.",I'm not sure.,0.04
) What does LESS elements contains?,Less elements contain commonly used mixins like,Less elements contain commonly used mixins like,1.0
) What does LESS elements contains?,Less elements contain commonly used mixins like,No idea.,0.18
How does automate Testing work in the DevOps lifecycle?,"Automated testing in DevOps refers to the use of tools and scripts to automatically run tests on applications, infrastructure, and services. It is integrated into the continuous delivery pipeline and helps to ensure that new code changes do not introduce bugs or negatively impact performance. The following is a basic overview of how automated testing works in the DevOps lifecycle:","Automated testing in DevOps refers to the use of tools and scripts to automatically run tests on applications, infrastructure, and services. It is integrated into the continuous delivery pipeline and helps to ensure that new code changes do not introduce bugs or negatively impact performance. The following is a basic overview of how automated testing works in the DevOps lifecycle:",1.0
How does automate Testing work in the DevOps lifecycle?,"Automated testing in DevOps refers to the use of tools and scripts to automatically run tests on applications, infrastructure, and services. It is integrated into the continuous delivery pipeline and helps to ensure that new code changes do not introduce bugs or negatively impact performance. The following is a basic overview of how automated testing works in the DevOps lifecycle:","Automated testing in DevOps refers to the use of tools and scripts to automatically run tests on applications, infrastructure, and services. It is integrated into the continuous delivery pipe",0.69
How does automate Testing work in the DevOps lifecycle?,"Automated testing in DevOps refers to the use of tools and scripts to automatically run tests on applications, infrastructure, and services. It is integrated into the continuous delivery pipeline and helps to ensure that new code changes do not introduce bugs or negatively impact performance. The following is a basic overview of how automated testing works in the DevOps lifecycle:",Maybe it's related to the frontend?,0.14
How do you clone an object in JavaScript?,"Using the object spread operator ..., the object's own enumerable properties can be copied
into the new object. This creates a shallow clone of the object.","Using the object spread operator ..., the object's own enumerable properties can be copied
into the new object. This creates a shallow clone of the object.",1.0
How do you clone an object in JavaScript?,"Using the object spread operator ..., the object's own enumerable properties can be copied
into the new object. This creates a shallow clone of the object.","Using the object spread operator ..., the object's own enumerable properties",0.64
How do you clone an object in JavaScript?,"Using the object spread operator ..., the object's own enumerable properties can be copied
into the new object. This creates a shallow clone of the object.",I'm not sure.,0.05
") Explain how you define Instance Variable, Global Variable and Class Variable in Ruby?",You can execute your application by uncommenting the line in environment.rb,You can execute your application by uncommenting the line in environment.rb,1.0
") Explain how you define Instance Variable, Global Variable and Class Variable in Ruby?",You can execute your application by uncommenting the line in environment.rb,You can execute your application by u,0.58
") Explain how you define Instance Variable, Global Variable and Class Variable in Ruby?",You can execute your application by uncommenting the line in environment.rb,I think it's about something technical.,0.14
What is the role of patch management in maintaining security?,Patch management regularly applies updates and patches to software and systems to fix security vulnerabilities. It's crucial for preventing the exploitation of known weaknesses by attackers.,Patch management regularly applies updates and patches to software and systems to fix security vulnerabilities. It's crucial for preventing the exploitation of known weaknesses by attackers.,1.0
What is the role of patch management in maintaining security?,Patch management regularly applies updates and patches to software and systems to fix security vulnerabilities. It's crucial for preventing the exploitation of known weaknesses by attackers.,Patch management regularly applies updates and patches to software and systems to fix security,0.65
What is the role of patch management in maintaining security?,Patch management regularly applies updates and patches to software and systems to fix security vulnerabilities. It's crucial for preventing the exploitation of known weaknesses by attackers.,I'm not sure.,0.1
What is the difference between Bitcoin blockchain and Ethereum?,"Although bitcoin and ether are both digital currencies, the Ethereum blockchain differs significantly from the Bitcoin Blockchain. Bitcoin was created solely for the purpose of being a digital currency. whereas Ethereum blockchain is a broader version of blockchain technology. And it is a distributed ledger technology that organizations are using to create new services, however, Ethereum is much more stable than bitcoin.","Although bitcoin and ether are both digital currencies, the Ethereum blockchain differs significantly from the Bitcoin Blockchain. Bitcoin was created solely for the purpose of being a digital currency. whereas Ethereum blockchain is a broader version of blockchain technology. And it is a distributed ledger technology that organizations are using to create new services, however, Ethereum is much more stable than bitcoin.",1.0
What is the difference between Bitcoin blockchain and Ethereum?,"Although bitcoin and ether are both digital currencies, the Ethereum blockchain differs significantly from the Bitcoin Blockchain. Bitcoin was created solely for the purpose of being a digital currency. whereas Ethereum blockchain is a broader version of blockchain technology. And it is a distributed ledger technology that organizations are using to create new services, however, Ethereum is much more stable than bitcoin.","Although bitcoin and ether are both digital currencies, the Ethereum blockchain differs significantly from the Bitcoin Blockchain. Bitcoin was created solely for the purpose of being a digital currency. whereas E",0.51
What is the difference between Bitcoin blockchain and Ethereum?,"Although bitcoin and ether are both digital currencies, the Ethereum blockchain differs significantly from the Bitcoin Blockchain. Bitcoin was created solely for the purpose of being a digital currency. whereas Ethereum blockchain is a broader version of blockchain technology. And it is a distributed ledger technology that organizations are using to create new services, however, Ethereum is much more stable than bitcoin.",I think it's about something technical.,0.02
) How can you use for loop to repeat the same statement over and again?,"You can use for loop for even repeating the same statement over and again. Here in the example, we have printed out the word “guru99” three times.","You can use for loop for even repeating the same statement over and again. Here in the example, we have printed out the word “guru99” three times.",1.0
) How can you use for loop to repeat the same statement over and again?,"You can use for loop for even repeating the same statement over and again. Here in the example, we have printed out the word “guru99” three times.",You can use for loop for even repeating the same statement over and again,0.48
) How can you use for loop to repeat the same statement over and again?,"You can use for loop for even repeating the same statement over and again. Here in the example, we have printed out the word “guru99” three times.",No idea.,0.18
List the key features of blockchain?,Ans: The four main key features of blockchain are:,Ans: The four main key features of blockchain are:,1.0
List the key features of blockchain?,Ans: The four main key features of blockchain are:,Ans: The four main key fe,0.7
List the key features of blockchain?,Ans: The four main key features of blockchain are:,I think it's about something technical.,0.02
What is event delegation and why is it useful? Can you show an example of how to use it?,"Event delegation is a technique of delegating events to a single common ancestor. Due to event bubbling, events ""bubble"" up the DOM tree by executing any handlers progressively on each ancestor element up to the root that may be listening to it.","Event delegation is a technique of delegating events to a single common ancestor. Due to event bubbling, events ""bubble"" up the DOM tree by executing any handlers progressively on each ancestor element up to the root that may be listening to it.",1.0
What is event delegation and why is it useful? Can you show an example of how to use it?,"Event delegation is a technique of delegating events to a single common ancestor. Due to event bubbling, events ""bubble"" up the DOM tree by executing any handlers progressively on each ancestor element up to the root that may be listening to it.","Event delegation is a technique of delegating events to a single common ancestor. Due to event bubbling, events ""bubble"" u",0.62
What is event delegation and why is it useful? Can you show an example of how to use it?,"Event delegation is a technique of delegating events to a single common ancestor. Due to event bubbling, events ""bubble"" up the DOM tree by executing any handlers progressively on each ancestor element up to the root that may be listening to it.",I'm not sure.,0.14
What are the benefits of using Maven in a DevOps environment?,"Maven provides several benefits for DevOps teams, including centralized management of project dependencies, simplified build configuration using a declarative approach, and automated build and deployment processes through integration with CI/CD pipelines.","Maven provides several benefits for DevOps teams, including centralized management of project dependencies, simplified build configuration using a declarative approach, and automated build and deployment processes through integration with CI/CD pipelines.",1.0
What are the benefits of using Maven in a DevOps environment?,"Maven provides several benefits for DevOps teams, including centralized management of project dependencies, simplified build configuration using a declarative approach, and automated build and deployment processes through integration with CI/CD pipelines.","Maven provides several benefits for DevOps teams, including centralized management of project dependencies, simplified build co",0.54
What are the benefits of using Maven in a DevOps environment?,"Maven provides several benefits for DevOps teams, including centralized management of project dependencies, simplified build configuration using a declarative approach, and automated build and deployment processes through integration with CI/CD pipelines.",Maybe it's related to the frontend?,0.02
What are some common integration challenges that can arise when using multiple DevOps tools?,"When using multiple DevOps tools, integration challenges can arise, such as data incompatibility, conflicting configurations, and a lack of communication between tools. For example, a deployment tool may not be compatible with a monitoring tool, or a configuration management tool may have different settings from the testing tool.","When using multiple DevOps tools, integration challenges can arise, such as data incompatibility, conflicting configurations, and a lack of communication between tools. For example, a deployment tool may not be compatible with a monitoring tool, or a configuration management tool may have different settings from the testing tool.",1.0
What are some common integration challenges that can arise when using multiple DevOps tools?,"When using multiple DevOps tools, integration challenges can arise, such as data incompatibility, conflicting configurations, and a lack of communication between tools. For example, a deployment tool may not be compatible with a monitoring tool, or a configuration management tool may have different settings from the testing tool.","When using multiple DevOps tools, integration challenges can arise, such as data incompatibility, conflicting configurations, and a lack of communication between too",0.42
What are some common integration challenges that can arise when using multiple DevOps tools?,"When using multiple DevOps tools, integration challenges can arise, such as data incompatibility, conflicting configurations, and a lack of communication between tools. For example, a deployment tool may not be compatible with a monitoring tool, or a configuration management tool may have different settings from the testing tool.",No idea.,0.01
Why DevOps has become famous?,"These days, the market window of products has reduced drastically. We see new products almost daily. This provides a myriad of choices to consumers but it comes at a cost of heavy competition in the market. Organizations cant afford to release big features after a gap. They tend to ship off small features as releases to the customers at regular intervals so that their products don't get lost in this sea of competition.","These days, the market window of products has reduced drastically. We see new products almost daily. This provides a myriad of choices to consumers but it comes at a cost of heavy competition in the market. Organizations cant afford to release big features after a gap. They tend to ship off small features as releases to the customers at regular intervals so that their products don't get lost in this sea of competition.",1.0
Why DevOps has become famous?,"These days, the market window of products has reduced drastically. We see new products almost daily. This provides a myriad of choices to consumers but it comes at a cost of heavy competition in the market. Organizations cant afford to release big features after a gap. They tend to ship off small features as releases to the customers at regular intervals so that their products don't get lost in this sea of competition.","These days, the market window of products has reduced drastically. We see new products almost daily. This provides a myriad of choices to consumers but it comes at a cost of heavy competition in the market. Orga",0.41
Why DevOps has become famous?,"These days, the market window of products has reduced drastically. We see new products almost daily. This provides a myriad of choices to consumers but it comes at a cost of heavy competition in the market. Organizations cant afford to release big features after a gap. They tend to ship off small features as releases to the customers at regular intervals so that their products don't get lost in this sea of competition.",Maybe it's related to the frontend?,0.12
) What is the purpose of cables being shielded and having twisted pairs?,The primary purpose of this is to prevent crosstalk. Crosstalk’s are electromagnetic interferences or noise that can affect data being transmitted across cables.,The primary purpose of this is to prevent crosstalk. Crosstalk’s are electromagnetic interferences or noise that can affect data being transmitted across cables.,1.0
) What is the purpose of cables being shielded and having twisted pairs?,The primary purpose of this is to prevent crosstalk. Crosstalk’s are electromagnetic interferences or noise that can affect data being transmitted across cables.,The primary purpose of this is to prevent crosstalk. Crosstalk’s are electromagn,0.58
) What is the purpose of cables being shielded and having twisted pairs?,The primary purpose of this is to prevent crosstalk. Crosstalk’s are electromagnetic interferences or noise that can affect data being transmitted across cables.,I'm not sure.,0.2
What are the disadvantages of using innerHTML in JavaScript?,"If you use innerHTML in JavaScript, the disadvantage is","If you use innerHTML in JavaScript, the disadvantage is",1.0
What are the disadvantages of using innerHTML in JavaScript?,"If you use innerHTML in JavaScript, the disadvantage is",If you use innerHTML in Jav,0.57
What are the disadvantages of using innerHTML in JavaScript?,"If you use innerHTML in JavaScript, the disadvantage is",I think it's about something technical.,0.01
Q 9. Blockchain forks can result in which of the following?,Multiple parent blocks Multiple children blocks [Ans],Multiple parent blocks Multiple children blocks [Ans],1.0
Q 9. Blockchain forks can result in which of the following?,Multiple parent blocks Multiple children blocks [Ans],I think it's about something technical.,0.13
What are Django URLs?,"In Django, views are Python functions which take a URL request as parameter and return an HTTP response or throw an exception like 404. Each view needs to be mapped to a corresponding URL pattern. This is done via a Python module called URLConf (URL configuration).","In Django, views are Python functions which take a URL request as parameter and return an HTTP response or throw an exception like 404. Each view needs to be mapped to a corresponding URL pattern. This is done via a Python module called URLConf (URL configuration).",1.0
What are Django URLs?,"In Django, views are Python functions which take a URL request as parameter and return an HTTP response or throw an exception like 404. Each view needs to be mapped to a corresponding URL pattern. This is done via a Python module called URLConf (URL configuration).","In Django, views are Python functions which take a URL request as parameter and return an HTTP response or throw an exception like 4",0.46
What are Django URLs?,"In Django, views are Python functions which take a URL request as parameter and return an HTTP response or throw an exception like 404. Each view needs to be mapped to a corresponding URL pattern. This is done via a Python module called URLConf (URL configuration).",No idea.,0.09
Is jQuery is a replacement of JavaScript?,"No, jQuery is not a replacement of JavaScript.","No, jQuery is not a replacement of JavaScript.",1.0
Is jQuery is a replacement of JavaScript?,"No, jQuery is not a replacement of JavaScript.","No, jQuery is not a rep",0.55
Is jQuery is a replacement of JavaScript?,"No, jQuery is not a replacement of JavaScript.",Maybe it's related to the frontend?,0.12
) Explain what is slot and what are the most commonly used slot options?,"Slots are nothing but variables that stores data or fields. A slot description has the form, where each option is a keyword followed by name, expression and other options. The most commonly used slot options are:","Slots are nothing but variables that stores data or fields. A slot description has the form, where each option is a keyword followed by name, expression and other options. The most commonly used slot options are:",1.0
) Explain what is slot and what are the most commonly used slot options?,"Slots are nothing but variables that stores data or fields. A slot description has the form, where each option is a keyword followed by name, expression and other options. The most commonly used slot options are:","Slots are nothing but variables that stores data or fields. A slot description has the form, where each op",0.7
) Explain what is slot and what are the most commonly used slot options?,"Slots are nothing but variables that stores data or fields. A slot description has the form, where each option is a keyword followed by name, expression and other options. The most commonly used slot options are:",I think it's about something technical.,0.13
What is Pattern Matching in SQL?,"SQL pattern matching provides for pattern search in data if you have no clue as to what that word should be. This kind of SQL query uses wildcards to match a string pattern, rather than writing the exact word. The LIKE operator is used in conjunction with SQL Wildcards to fetch the required information.","SQL pattern matching provides for pattern search in data if you have no clue as to what that word should be. This kind of SQL query uses wildcards to match a string pattern, rather than writing the exact word. The LIKE operator is used in conjunction with SQL Wildcards to fetch the required information.",1.0
What is Pattern Matching in SQL?,"SQL pattern matching provides for pattern search in data if you have no clue as to what that word should be. This kind of SQL query uses wildcards to match a string pattern, rather than writing the exact word. The LIKE operator is used in conjunction with SQL Wildcards to fetch the required information.",SQL pattern matching provides for pattern search in data if you have no clue as to what that word should be. This kind of SQL query uses wildcards to ma,0.46
What is Pattern Matching in SQL?,"SQL pattern matching provides for pattern search in data if you have no clue as to what that word should be. This kind of SQL query uses wildcards to match a string pattern, rather than writing the exact word. The LIKE operator is used in conjunction with SQL Wildcards to fetch the required information.",I think it's about something technical.,0.09
) 5 Coding best practices you learned in Java?,Very Nice set of questions and answers. Thanks for sharing!!,Very Nice set of questions and answers. Thanks for sharing!!,1.0
) 5 Coding best practices you learned in Java?,Very Nice set of questions and answers. Thanks for sharing!!,Very Nice set of questions and,0.66
) 5 Coding best practices you learned in Java?,Very Nice set of questions and answers. Thanks for sharing!!,I think it's about something technical.,0.09
) Explain how to delete a file in Python?,By using a command os.remove (filename) or os.unlink(filename),By using a command os.remove (filename) or os.unlink(filename),1.0
) Explain how to delete a file in Python?,By using a command os.remove (filename) or os.unlink(filename),By using a command os.remove (f,0.57
) Explain how to delete a file in Python?,By using a command os.remove (filename) or os.unlink(filename),No idea.,0.18
"What is the applet security manager, and what does it provide?","The applet security manager is a mechanism to impose restrictions on Java applets. A browser may only have one security manager. The security manager is established at startup, and it cannot thereafter be replaced, overloaded, overridden, or extended.","The applet security manager is a mechanism to impose restrictions on Java applets. A browser may only have one security manager. The security manager is established at startup, and it cannot thereafter be replaced, overloaded, overridden, or extended.",1.0
"What is the applet security manager, and what does it provide?","The applet security manager is a mechanism to impose restrictions on Java applets. A browser may only have one security manager. The security manager is established at startup, and it cannot thereafter be replaced, overloaded, overridden, or extended.",The applet security manager is a mechanism to impose restrictions on Java applets. A browser may only have one security manag,0.46
"What is the applet security manager, and what does it provide?","The applet security manager is a mechanism to impose restrictions on Java applets. A browser may only have one security manager. The security manager is established at startup, and it cannot thereafter be replaced, overloaded, overridden, or extended.",I think it's about something technical.,0.02
Q-14: Can you compile a Java class successfully without having the “main” method?,"Ans. Yes, we can compile, but it won’t run. The “main” method works as the startup function for a Java class, and the JVM calls it for the program execution.","Ans. Yes, we can compile, but it won’t run. The “main” method works as the startup function for a Java class, and the JVM calls it for the program execution.",1.0
Q-14: Can you compile a Java class successfully without having the “main” method?,"Ans. Yes, we can compile, but it won’t run. The “main” method works as the startup function for a Java class, and the JVM calls it for the program execution.","Ans. Yes, we can compile, but it won’t run. The “main” method works as the sta",0.51
Q-14: Can you compile a Java class successfully without having the “main” method?,"Ans. Yes, we can compile, but it won’t run. The “main” method works as the startup function for a Java class, and the JVM calls it for the program execution.",I think it's about something technical.,0.12
) Explain what are indexes in MongoDB?,"Indexes are special structures in MongoDB, which stores a small portion of the data set in an easy to traverse form. Ordered by the value of the field specified in the index, the index stores the value of a specific field or set of fields.","Indexes are special structures in MongoDB, which stores a small portion of the data set in an easy to traverse form. Ordered by the value of the field specified in the index, the index stores the value of a specific field or set of fields.",1.0
) Explain what are indexes in MongoDB?,"Indexes are special structures in MongoDB, which stores a small portion of the data set in an easy to traverse form. Ordered by the value of the field specified in the index, the index stores the value of a specific field or set of fields.","Indexes are special structures in MongoDB, which stores a small portion of the data set in an easy to traverse form. Or",0.59
) Explain what are indexes in MongoDB?,"Indexes are special structures in MongoDB, which stores a small portion of the data set in an easy to traverse form. Ordered by the value of the field specified in the index, the index stores the value of a specific field or set of fields.",I'm not sure.,0.11
Describe the different ways to create an object. When should certain ways be preferred over others?,Often used to store one occurrence of data.,Often used to store one occurrence of data.,1.0
Describe the different ways to create an object. When should certain ways be preferred over others?,Often used to store one occurrence of data.,Maybe it's related to the frontend?,0.05
What is CSS extraction?,"CSS Extraction is used to extract all the processed CSS in all Vue components into a single CSS file. For
webpack4, you need to install below npm command,","CSS Extraction is used to extract all the processed CSS in all Vue components into a single CSS file. For
webpack4, you need to install below npm command,",1.0
What is CSS extraction?,"CSS Extraction is used to extract all the processed CSS in all Vue components into a single CSS file. For
webpack4, you need to install below npm command,",CSS Extraction is used to extract all the processed CSS in all Vue components,0.59
What is CSS extraction?,"CSS Extraction is used to extract all the processed CSS in all Vue components into a single CSS file. For
webpack4, you need to install below npm command,",I think it's about something technical.,0.04
) Explain how we can do multi-join query in MS Access?,"In Access, we can only join two tables, in order to join more tables you require to group the first join together by using parentheses, as if it was a newly derived table. After that, you can join another table to that group.","In Access, we can only join two tables, in order to join more tables you require to group the first join together by using parentheses, as if it was a newly derived table. After that, you can join another table to that group.",1.0
) Explain how we can do multi-join query in MS Access?,"In Access, we can only join two tables, in order to join more tables you require to group the first join together by using parentheses, as if it was a newly derived table. After that, you can join another table to that group.","In Access, we can only join two tables, in order to join more tables you require to group the first join togethe",0.42
) Explain how we can do multi-join query in MS Access?,"In Access, we can only join two tables, in order to join more tables you require to group the first join together by using parentheses, as if it was a newly derived table. After that, you can join another table to that group.",No idea.,0.01
What is the purpose of using RMISecurityManager in RMI?,"RMISecurityManager provides a security manager that can be used by RMI applications, which use downloaded code. The class loader of RMI will not download any classes from remote locations, if the security manager has not been set.","RMISecurityManager provides a security manager that can be used by RMI applications, which use downloaded code. The class loader of RMI will not download any classes from remote locations, if the security manager has not been set.",1.0
What is the purpose of using RMISecurityManager in RMI?,"RMISecurityManager provides a security manager that can be used by RMI applications, which use downloaded code. The class loader of RMI will not download any classes from remote locations, if the security manager has not been set.","RMISecurityManager provides a security manager that can be used by RMI applications, which use downloaded code. The",0.65
What is the purpose of using RMISecurityManager in RMI?,"RMISecurityManager provides a security manager that can be used by RMI applications, which use downloaded code. The class loader of RMI will not download any classes from remote locations, if the security manager has not been set.",I think it's about something technical.,0.15
What considerations do you need when writing a UITableViewController which shows images downloaded from a remote server?,"Stay up to date with Software Engineering, Distributed Teams, Agile Talent, and Future of Work content","Stay up to date with Software Engineering, Distributed Teams, Agile Talent, and Future of Work content",1.0
What considerations do you need when writing a UITableViewController which shows images downloaded from a remote server?,"Stay up to date with Software Engineering, Distributed Teams, Agile Talent, and Future of Work content","Stay up to date with Software Engineering, Distribu",0.49
What considerations do you need when writing a UITableViewController which shows images downloaded from a remote server?,"Stay up to date with Software Engineering, Distributed Teams, Agile Talent, and Future of Work content",I'm not sure.,0.19
Why is blockchain a trusted approach?,Blockchain is an incorruptible digital ledger of economic transactions that can be programmed to record not only financial transactions but virtually everything of value.,Blockchain is an incorruptible digital ledger of economic transactions that can be programmed to record not only financial transactions but virtually everything of value.,1.0
Why is blockchain a trusted approach?,Blockchain is an incorruptible digital ledger of economic transactions that can be programmed to record not only financial transactions but virtually everything of value.,Blockchain is an incorruptible digital ledger of economic transactions that can be pr,0.41
Why is blockchain a trusted approach?,Blockchain is an incorruptible digital ledger of economic transactions that can be programmed to record not only financial transactions but virtually everything of value.,I think it's about something technical.,0.0
What are workspace APIs?,"Angular 8.0 release introduces Workspace APIs to make it easier for developers to read and modify the angular.json file instead of manually modifying it. Currently, the only supported storage3 format is the JSON-based format used by the Angular CLI. You can enable or add optimization option for build target as below,","Angular 8.0 release introduces Workspace APIs to make it easier for developers to read and modify the angular.json file instead of manually modifying it. Currently, the only supported storage3 format is the JSON-based format used by the Angular CLI. You can enable or add optimization option for build target as below,",1.0
